highway,name,lat,lon
,南相馬鹿島SIC,37.71533258737001,140.9199164847518
,高岡砺波SIC,36.65547593786449,137.0007076209317
,南砺SIC,36.600136,136.902203
,府中SIC,35.660033,139.494772
,豊前IC,33.58766084596067,131.1256937123659
,上毛SIC,33.56124882879607,131.17010635203974
,中津IC,33.532692917265024,131.23350947000108
,佐伯堅田IC,32.930166966680645,131.86452665839374
,鳴門JCT,34.170773,134.561779
,松茂SIC,34.14378116154194,134.56443282506643
,原井IC,34.884678,132.067436
,浜田港IC,34.87832908311964,132.06579241098223
,西村IC,34.84130086273268,132.0087056515762
,郡山下ツ道JCT,34.61237,135.791073
,甲奴IC,34.68996852932446,133.04434662373217
,南波多谷口IC,33.343021459425884,129.92398274301445
,七尾IC,37.02065691418977,136.95299162424226
,今福IC,33.34908932385646,129.76587726135847
,山代久原IC,33.318945915282484,129.8048705728147
,仁摩・石見銀山IC,35.14507841958317,132.41327283015278
,忠類IC,42.55879318694474,143.29270374839473
,忠類大樹IC,42.53729594648746,143.2764334699291
,御所南IC,34.44713972149057,135.7406854787195
,津島岩松IC,33.11124849254304,132.5153194229964
,幸手IC,36.06483182075078,139.73893845389205
,五霞IC,36.095060493368976,139.76179270096063
,境古河IC,36.12498459497823,139.80779434469423
,高知南IC,33.53995882702848,133.58753402920954
,なんこく南IC,33.55909755514344,133.62826190820954
,相模原IC,35.5813658,139.29345041
,白糠IC,43.07934523839705,143.9615491614842
,阿久根北IC,32.06197364116025,130.23255313266316
,阿久根IC,32.026314562635946,130.22459272518358
,蔵田交差点IC,32.59477401525163,131.49699982950813
,下総IC,35.86195901028299,140.39184032379626
,上富田IC,33.70278089882356,135.41231384939374
,南紀白浜IC,33.64918591913016,135.40867327405476
,三宅IC,34.581082,135.786803
,日置川IC,33.5786987491806,135.45587603004628
,すさみIC,33.555137921167045,135.51011822313512
,すさみ南IC,33.51650166103252,135.6032100346972
,京丹波みずほIC,35.18408903648975,135.36314300154652
,砂川SASIC,43.528913,141.928926
,市屋IC,33.58873466357579,135.91493990520792
,岩出根来IC,34.28778147428346,135.30610731282445
,夢前SIC,34.963224347745445,134.69263714068427
,石巻女川IC,38.46139,141.279995
,象潟IC,39.19527234571268,139.924646681156
,桶川加納IC,36.021330673272985,139.5648875041486
,訓子府IC,43.710759184921415,143.73984736117347
,福井北JCT/IC,36.086254,136.278921
,宇佐IC,33.497852750335255,131.3174008482539
,五反田IC,35.62735397085743,139.71409854765454
,王子南IC,35.75467354698782,139.74236239673007
,北波多IC,33.38396413602408,129.93478367097248
,灘浦IC,36.91990395202822,137.00490376979883
,浪江IC,37.498897841656,140.94291328109773
,松岡IC,36.08094700957946,136.2980810683556
,薩摩川内都IC,31.774365301981447,130.29430749883738
,寒川北IC,35.384575006033344,139.37855613434863
,徳島IC,34.10111742570729,134.5768417142118
,黒瀬IC,34.331708990235825,132.6465322468273
,佐伯IC,32.972251383075616,131.86198983570011
,御所IC,34.46669028481551,135.75274403552555
,吉舎IC,34.735520930819234,132.97901614235616
,世羅IC,34.59191570019851,133.08757667128612
,北方IC,32.57264502789815,131.53499506284925
,大井JCT,35.60585500000002,139.755399
,中環大井南IC,35.6040885752882,139.75538780342276
,大栄JCT,35.810251,140.392193
,神崎IC,35.8947955721639,140.37956230500615
,南紀田辺IC,33.74566830399084,135.3724928258796
,丹波IC,35.14643335223548,135.4325991113875
,京丹波わちIC,35.280302542256834,135.3375304832797
,紀の川IC,34.28836682169077,135.3673974694127
,金浦IC,39.25298950365402,139.93082281014256
,三沢十和田下田IC,40.643672,141.373162
,六戸仮出入口IC,40.661169,141.346371
,天間林IC,40.790351,141.086405
,青森東IC,40.824802,140.867173
,青森中央IC,40.796309,140.742887
,落部IC,42.205209,140.396278
,八雲IC,42.263212,140.2523
,国縫IC,42.439362,140.314497
,長万部IC,42.525295,140.365049
,豊浦IC,42.604126,140.638417
,虻田洞爺湖IC,42.558142,140.771929
,伊達IC,42.484143,140.893829
,室蘭IC,42.387173,140.970453
,登別室蘭IC,42.39866,141.080297
,登別東IC,42.461601,141.173715
,白老IC,42.564951,141.328765
,苫小牧西IC,42.633155,141.490569
,千歳IC,42.811841,141.621034
,千歳恵庭JCT,42.845311,141.584973
,恵庭IC,42.87132,141.554589
,輪厚IC,42.951511,141.511956
,北広島IC,42.976683,141.478526
,札幌南IC,43.014914,141.464337
,大谷地IC,43.041798,141.437685
,北郷IC,43.058989,141.425455
,札幌JCT,43.077281,141.420371
,札幌IC,43.07917,141.426736
,江別西IC,43.093554,141.496382
,江別東IC,43.10494,141.599966
,岩見沢IC,43.17451,141.766033
,三笠IC,43.243946,141.830255
,美唄IC,43.332827,141.888331
,奈井江砂川IC,43.450534,141.917947
,滝川IC,43.567561,141.95466
,深川IC,43.689137,142.078434
,音江PASA,43.70881,142.144355
,旭川鷹栖IC,43.80403,142.322886
,旭川北IC,43.837523,142.408412
,和寒IC,44.009223,142.436066
,士別剣淵IC,44.143836,142.402633
,銭函IC,43.133264,141.173811
,手稲IC,43.110711,141.239757
,札幌西IC,43.089983,141.268088
,新川IC,43.10161,141.311319
,札幌北IC,43.101139,141.345004
,伏古IC,43.098013,141.391936
,雁来IC,43.089872,141.411688
,千歳東IC,42.882414,141.709654
,追分町IC,42.89298,141.81673
,夕張IC,42.922673,142.036555
,占冠IC,42.979751,142.409236
,トマムIC,43.04349,142.662364
,十勝清水IC,42.994611,142.856533
,芽室IC,42.9692,143.044793
,音更帯広IC,42.98082,143.179529
,池田IC,42.995345,143.436678
,本別JCT,43.102998,143.555531
,本別IC,43.107017,143.57761
,浦幌IC,43.121199,143.670161
,朝里IC,43.168148,141.05017
,小樽IC,43.180534,141.021021
,足寄IC,43.209491,143.561495
,大泉JCT,35.759019,139.598275
,和光IC,35.785136,139.613607
,和光北IC,35.804017,139.62169
,戸田西IC,35.817749,139.635159
,美女木JCT,35.822668,139.641852
,戸田東IC,35.828826,139.653551
,外環浦和IC,35.83909,139.678544
,川口西IC,35.845963,139.696462
,川口中央IC,35.851021,139.722142
,浦和IC,35.886144,139.724594
,岩槻IC,35.937244,139.690894
,久喜IC,36.060606,139.653578
,加須IC,36.126706,139.627632
,羽生IC,36.16947,139.588679
,館林IC,36.225043,139.570717
,佐野藤岡IC,36.292757,139.61898
,佐野SASIC,36.317764,139.620667
,岩舟JCT,36.34899,139.624214
,栃木IC,36.40234,139.708288
,栃木都賀JCT,36.424095,139.719524
,鹿沼IC,36.539631,139.798918
,宇都宮IC,36.631489,139.845766
,上河内SIC,36.689149,139.890063
,矢板IC,36.762055,139.934075
,西那須野塩原IC,36.916115,139.943804
,黒磯板室IC,36.958774,139.990214
,那須IC,37.005438,140.039709
,那須高原SIC,37.056487,140.100622
,白河IC,37.117361,140.164559
,白河中央SIC,37.147072,140.220235
,矢吹IC,37.195965,140.297531
,鏡石SIC,37.255666,140.335653
,須賀川IC,37.289577,140.3512
,郡山南IC,37.366816,140.311269
,郡山IC,37.434603,140.344189
,郡山JCT,37.462915,140.360221
,本宮IC,37.487722,140.376919
,二本松IC,37.591255,140.418716
,福島松川SIC,37.661449,140.44381
,福島西IC,37.736367,140.421165
,福島飯坂IC,37.802764,140.45531
,国見IC,37.880021,140.530382
,白石IC,38.038874,140.631553
,村田IC,38.120796,140.710833
,村田JCT,38.139545,140.723808
,仙台南IC,38.214967,140.80337
,仙台宮城IC,38.258031,140.810971
,泉PASIC,38.32765,140.854746
,泉IC,38.348048,140.874663
,富谷JCT,38.37425,140.887461
,大和IC,38.4358,140.916217
,大衡IC,38.463721,140.908706
,三本木SIC,38.515402,140.9306
,古川IC,38.590681,140.931646
,長者原SIC,38.637518,140.961407
,築館IC,38.710312,141.008958
,若柳金成IC,38.793579,141.084101
,一関IC,38.93731,141.101387
,平泉前沢IC,39.021436,141.110985
,水沢IC,39.171152,141.117939
,北上金ヶ崎IC,39.240971,141.079302
,北上JCT,39.274166,141.077107
,北上江釣子IC,39.298544,141.087566
,花巻南IC,39.386061,141.091511
,花巻JCT,39.421836,141.101629
,花巻IC,39.44512,141.109693
,紫波IC,39.556305,141.1155
,盛岡南IC,39.652228,141.122862
,盛岡IC,39.710791,141.095625
,滝沢IC,39.797687,141.112213
,西根IC,39.88366,141.089325
,松尾八幡平IC,39.949825,141.032131
,安代JCT,40.10461,141.060303
,安代IC,40.109319,141.048489
,鹿角八幡平IC,40.162151,140.804446
,十和田IC,40.255237,140.766271
,小坂IC,40.319945,140.735858
,碇ヶ関IC,40.466393,140.636126
,大鰐弘前IC,40.547883,140.558399
,黒石IC,40.622233,140.616195
